Intel® Product Specification Comparison
09/02/2026 07:42:58 PM
 ,Intel® Xeon® 6333P Processor ,Intel® Xeon® 6315P Processor ,Intel® Xeon® 6325P Processor ,Intel® Xeon® 6357P Processor ,Intel® Xeon® 6353P Processor ,Intel® Xeon® 6349P Processor ,Intel® Xeon® 6337P Processor ,Intel® Xeon® 6369P Processor ,Intel® Xeon® 6747P Processor ,Intel® Xeon® 6521P Processor ,Intel® Xeon® 6530P Processor ,Intel® Xeon® 6520P Processor ,Intel® Xeon® 6732P Processor ,Intel® Xeon® 6527P Processor ,Intel® Xeon® 6517P Processor ,Intel® Xeon® 6511P Processor ,Intel® Xeon® 6505P Processor ,Intel® Xeon® 6507P Processor ,Intel® Xeon® 6515P Processor ,Intel® Xeon® 6724P Processor ,Intel® Xeon® 6714P Processor ,Intel® Xeon® 6944P Processor ,Intel® Xeon® 6726P-B Processor ,Intel® Xeon® 6503P-B Processor ,Intel® Xeon® 6516P-B Processor ,Intel® Xeon® 6533P-B Processor ,Intel® Xeon® 6523P-B Processor ,Intel® Xeon® 6546P-B Processor ,Intel® Xeon® 6543P-B Processor ,Intel® Xeon® 6553P-B Processor ,Intel® Xeon® 6706P-B Processor ,Intel® Xeon® 6563P-B Processor ,Intel® Xeon® 6556P-B Processor ,Intel® Xeon® 6716P-B Processor ,Intel® Xeon® 6513P-B Processor ,Intel® Xeon® 6745P Processor ,Intel® Xeon® 6776P Processor ,Intel® Xeon® 6774P Processor ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Xeon® 698X Processor ,Intel® Xeon® 6532P-B Processor ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Xeon® 696X Processor ,Intel® Xeon® 676X Processor ,Intel® Xeon® 678X Processor ,Intel® Xeon® 636 Processor ,Intel® Xeon® 638 Processor ,Intel® Xeon® 656 Processor ,Intel® Xeon® 654 Processor ,Intel® Xeon® 658X Processor ,Intel® Xeon® 674X Processor ,Intel® Xeon® 6962P Processor ,Intel® Xeon® 6978P Processor ,Intel® Xeon® 634 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel® Xeon® 6548P-B Processor ,Intel® Xeon® 6725P Processor ,Intel® Xeon® 6776P-B Processor ,Intel® Xeon® 6766P-B Processor ,Intel® Xeon® 6756P-B Processor ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Xeon® 6544P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Arc™ G3 Extreme Processor ,Intel® Arc™ G3  Processor ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Xeon® 6768P-B Processor ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel® Xeon® 6990E+ processor ,Intel® Xeon® 6980E+ processor ,Intel® Xeon® 6960E+ processor ,Intel® Xeon® 6970E+ processor ,Intel® Xeon® 6503P processor ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Xeon® 6377P Processor 
Intel® QuickAssist Software Acceleration,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,No,Yes,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,
Intel® Platform Firmware Resilience Support,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,No,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,
Intel® Control-Flow Enforcement Technology,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Software Guard Extensions (Intel® SGX),,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes,Yes,Yes,,,,,,,No,Yes with Intel® SPS,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,Yes with Intel® SPS,Yes,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,,,,,,,,,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,,,,,,,,,,,,,,,,,,,,,,,Yes with Intel® SPS,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,
Maximum Enclave Size Support for Intel® SGX,,,,,,,,,512 GB,128 GB,128 GB,128 GB,512 GB,512 GB,512 GB,128 GB,128 GB,512 GB,128 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,,,,,,,,,,,,,,,,,,,512 GB,512 GB,,,,512 GB,512 GB,512 GB,512 GB,512 GB,,,,,,,,,512 GB,512 GB,512 GB,,,,,,,,,,,,,,,,,,,,,,,512 GB,,,,,,,,,,,,512 GB,512 GB,512 GB,512 GB,512 GB,,,
Intel® Run Sure Technology,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,
Intel vPro® Eligibility ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,,Intel vPro® Enterprise,,,,,,,,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,,,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Platform,Intel vPro® Enterprise,,,Intel vPro® Enterprise,Intel vPro® Platform,Intel vPro® Enterprise,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Platform,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,,,,,,,,,,,,,,,,
Intel® Threat Detection Technology (TDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,Yes,No,No,No,No,No,No,No,No,No,,,No,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,
Intel® Active Management Technology (AMT) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,No,No,No,Yes,Yes,Yes,,,No,,Yes,,No,,No,,,,,Yes,,,,No,No,No,No,No,No,No,No,No,,,,,,,,No,No,
Intel® Standard Manageability (ISM) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,
Intel® Remote Platform Erase (RPE) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,No,No,No,Yes,Yes,Yes,,,No,,Yes,,No,,No,,,,,Yes,,,,No,No,No,No,No,No,No,No,No,,,,,,,,No,No,
Intel® One-Click Recovery ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,No,No,No,Yes,Yes,Yes,,,No,,Yes,,No,,No,,,,,Yes,,,,No,No,No,No,No,No,No,No,No,,,,,,,,No,No,
Intel® Stable Image Platform Program (SIPP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,,No,No,No,Yes,Yes,Yes,,,No,,Yes,,No,,No,,,,,Yes,,,,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,No,No,

Intel® Speed Select Technology - Performance Profile (Intel® SST-PP)
Intel® Speed Select Technology,,,,,,,,,See the specifications,,See the specifications,See the specifications,See the specifications,,,See the specifications,,,,,,,,,,,,,,,,,,,,See the specifications,,,,,,,,,,,,,,,,,,,,,,See the specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See the specifications,See the specifications,,,,,,

I/O Specifications
Integrated LAN,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,No,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,,,,No,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Up to 8 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,,,,,,,,
# of USB Ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,
USB Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,Up to 4x USB Gen3.2 1x1 and 4 x USB 2.0,,,,,,,,
USB Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,,,,,,,,,,,,,,,,,,2.0/3.2,2.0/3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,,,,,,,,
Total # of SATA Ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
General Purpose IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

GPU Specifications
GPU Name ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® Graphics,Intel® Graphics,,,Intel® Graphics,,,,,,,,,,,,,Intel® UHD Graphics,Intel® UHD Graphics,,,,,,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Graphics,Intel® Graphics,Intel® Arc™ B370 GPU,Intel® Graphics,Intel® Graphics,,,,Intel® Arc™ B390 GPU,Intel® Arc™ B370 GPU,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,,,,,,,,Intel® Graphics,Intel® Arc™ B390 GPU,
Graphics Base Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 MHz,300 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 MHz,300 MHz,,300 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,,300 MHz,300 MHz,,300 MHz,300 MHz,300 MHz,,,,,,,,,,,,,,,,
Graphics Max Dynamic Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 GHz,2 GHz,,,2.05 GHz,,,,,,,,,,,,,1.2 GHz,1 GHz,,,,,,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.5 GHz,2.4 GHz,2.45 GHz,2.3 GHz,,,,2.3 GHz,2.2 GHz,,2 GHz,1.9 GHz,2.5 GHz,1.65 GHz,1.65 GHz,2.3 GHz,1.65 GHz,2.3 GHz,1.65 GHz,2.45 GHz,1.65 GHz,2.5 GHz,1.65 GHz,1.65 GHz,1.65 GHz,1.65 GHz,2.45 GHz,1.65 GHz,1.65 GHz,,1.8 GHz,2 GHz,1.9 GHz,2.6 GHz,2.5 GHz,2.6 GHz,2.5 GHz,2.3 GHz,2.3 GHz,,,,,,,,2.3 GHz,2.5 GHz,
GPU Peak TOPS (Int8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,8,,,,,,,,,,,,,,,,,,,,122,122,122,40,40,98,40,37,,,,113,90,,8,8,40,,,18,,18,,40,,40,,,,,40,,,,6,8,8,21,20,21,20,9,9,,,,,,,,18,122,
Graphics Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,,,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,,,,,,,,,,,,,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3,,,,,,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,,,,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,n/a,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.4b |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),,,,,,,,eDP1.5 |  DP 2.1 HBR3 |  HDMI 2.0b (TMDS only),eDP1.5 |  DP 2.1 UHBR20 |  HDMI 2.1 FRL,
Xe-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,4,,,,,,,,,,,,,,,,,,,,12,12,12,4,4,10,4,4,,,,12,10,0,4,4,4,,,2,,2,,4,,4,,,,,4,,,,3,4,4,2,2,2,2,1,1,,,,,,,,2,12,
Max Resolution (HDMI)‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),,,4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,,,,,,,,,,,,,,,4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),4096 x 2304 @ 60Hz (HDMI 2.1 TMDS)7680 x 4320 @ 60Hz (HDMI 2.1 FRL),,,,,,,,,,,,,,,,
Max Resolution (DP)‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,,,,,,,,,,,,,4096 x 2160@60Hz,4096 x 2160@60Hz,,,,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,,,,,,,,3840 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,
Max Resolution (eDP - Integrated Flat Panel)‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,,,3840 x 2400 @ 120Hz,,,,,,,,,,,,,,,,,,,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,,,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,3840 x 2400 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2400 @ 120Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,3840 x 2160 @ 60Hz,,,,,,,,3840 x 2160 @ 60Hz,3840 x 2400 @ 120Hz,
DirectX* Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,12.2,,,,,,,,,,,,,12.1,12.1,,,,,,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,DirectX 12 Ultimate,,,,DirectX 12 Ultimate,DirectX 12 Ultimate,,12,12,DirectX 12 Ultimate,12,12,DirectX 12 Ultimate,12,DirectX 12 Ultimate,12,DirectX 12 Ultimate,12,DirectX 12 Ultimate,12,12,12,12,DirectX 12 Ultimate,12,12,,12,12,12,DirectX 12,DirectX 12,DirectX 12,DirectX 12,DirectX 12,DirectX 12,,,,,,,,DirectX 12,DirectX 12 Ultimate,
